2000	0.001	0.002			
4000	0.001	0.005			
6000	0.002	0.007			
8000	0.002	0.01			
10000	0.004	0.012			
12000	0.004	0.015			
14000	0.005	0.018			
16000	0.006	0.021			
18000	0.006	0.024			
20000	0.008	0.025			
22000	0.008	0.029			
24000	0.008	0.032			
26000	0.009	0.034			
28000	0.01	0.036			
30000	0.011	0.041			
32000	0.012	0.044			
34000	0.013	0.044			
36000	0.014	0.047			
38000	0.014	0.05			
40000	0.014	0.053			
42000	0.015	0.059			
44000	0.016	0.061			
46000	0.017	0.062			
48000	0.018	0.066			
50000	0.019	0.067			
52000	0.02	0.072			
54000	0.021	0.075			
56000	0.021	0.076			
58000	0.022	0.081			
60000	0.023	0.081			
62000	0.024	0.087			
64000	0.025	0.091			
66000	0.026	0.093			
68000	0.026	0.091			
70000	0.027	0.101			
72000	0.028	0.099			
74000	0.029	0.108			
76000	0.03	0.104			
78000	0.03	0.109			
80000	0.031	0.111			
82000	0.032	0.116			
84000	0.033	0.121			
86000	0.034	0.121			
88000	0.034	0.127			
90000	0.035	0.124			
92000	0.036	0.131			
94000	0.036	0.131			
96000	0.038	0.141			
98000	0.039	0.135			
100000	0.039	0.144			
