Time;qsort;sort
2000;0.001;0.006
4000;0.004;0.011
6000;0.006;0.02
8000;0.007;0.036
10000;0.007;0.027
12000;0.009;0.046
14000;0.016;0.068
16000;0.02;0.105
18000;0.021;0.09
20000;0.027;0.131
22000;0.042;0.108
24000;0.028;0.095
26000;0.036;0.137
28000;0.039;0.158
30000;0.047;0.151
32000;0.045;0.143
34000;0.044;0.194
36000;0.045;0.217
38000;0.052;0.205
40000;0.054;0.219
42000;0.045;0.142
44000;0.049;0.137
46000;0.047;0.138
48000;0.057;0.136
50000;0.063;0.17
52000;0.051;0.174
54000;0.044;0.179
56000;0.045;0.172
58000;0.046;0.183
60000;0.048;0.21
62000;0.077;0.222
64000;0.056;0.199
66000;0.054;0.226
68000;0.07;0.217
70000;0.058;0.23
72000;0.077;0.237
74000;0.061;0.246
76000;0.097;0.284
78000;0.07;0.252
80000;0.068;0.291
82000;0.081;0.261
84000;0.078;0.267
86000;0.074;0.275
88000;0.068;0.293
90000;0.089;0.276
92000;0.084;0.284
94000;0.102;0.307
96000;0.112;0.32
98000;0.09;0.342
100000;0.1;0.35

#########################################
На приведенном графике синяя линия отображает время работы функции sort из языка "C", оранжевая отображет время работы функции qsort из языка "C++". Из графика понятно, что qsort работает быстрее sort примерно в 3 раза. 
#########################################
