num__items,c__quicksort,cpp__quicksort,rust__sort,rust__unstable_sort
1000,0.000136,0.000037,0.0000324,0.0000012
1000,0.000066,0.000036,0.0000308,0.0000009
1000,0.000091,0.000037,0.0000307,0.0000008
1000,0.000066,0.000035,0.0000303,0.0000008
1000,0.000122,0.000055,0.0000374,0.0000016
2000,0.000151,0.000089,0.0000995,0.0000015
2000,0.000306,0.000087,0.0000626,0.0000014
2000,0.000130,0.000087,0.0000627,0.0000014
2000,0.000149,0.000075,0.0000632,0.0000016
2000,0.000132,0.000076,0.0000628,0.0000015
3000,0.000358,0.000120,0.0001328,0.0000021
3000,0.000350,0.000140,0.0000974,0.000002
3000,0.000598,0.000164,0.0001004,0.000002
3000,0.000344,0.000233,0.0000976,0.000002
3000,0.000536,0.000191,0.0001016,0.0000026
4000,0.000313,0.000185,0.0001271,0.0000025
4000,0.000496,0.000279,0.0002245,0.0000026
4000,0.000325,0.000226,0.0001314,0.0000026
4000,0.000285,0.000169,0.0001307,0.0000026
4000,0.000406,0.000164,0.0001308,0.0000026
5000,0.000359,0.000258,0.0002249,0.0000031
5000,0.000518,0.000217,0.0002295,0.0000033
5000,0.000395,0.000344,0.0001638,0.0000032
5000,0.000381,0.000228,0.0001869,0.0000033
5000,0.000562,0.000272,0.000165,0.0000033
6000,0.000461,0.000252,0.0002679,0.0000038
6000,0.000644,0.000318,0.0002846,0.0000225
6000,0.000553,0.000352,0.0003328,0.0000038
6000,0.000729,0.000333,0.0002125,0.0000038
6000,0.000475,0.000385,0.0002462,0.0000037
7000,0.000503,0.000352,0.0002731,0.0000044
7000,0.000591,0.000513,0.0004023,0.0000043
7000,0.000549,0.000502,0.0002369,0.0000045
7000,0.000737,0.000354,0.0002513,0.0000042
7000,0.000790,0.000372,0.0003799,0.0000071
8000,0.000762,0.000590,0.000309,0.000005
8000,0.000660,0.000646,0.0002751,0.0000049
8000,0.001048,0.000529,0.0004233,0.000005
8000,0.000633,0.000403,0.0003587,0.0000051
8000,0.000665,0.000529,0.0002864,0.0000049
9000,0.000664,0.000392,0.0003491,0.0000055
9000,0.002110,0.000528,0.0003168,0.0000052
9000,0.001108,0.000563,0.0003517,0.0000054
9000,0.000802,0.000561,0.0003475,0.0000054
9000,0.000950,0.000589,0.0003105,0.0000056
10000,0.000734,0.000516,0.0003349,0.0000062
10000,0.001159,0.000556,0.0003709,0.000006
10000,0.001058,0.000601,0.0005161,0.0000252
10000,0.001028,0.000564,0.0003515,0.000006
10000,0.001007,0.000708,0.0003449,0.0000063
11000,0.000823,0.000691,0.0003899,0.0000066
11000,0.001432,0.000806,0.0004964,0.0000066
11000,0.001081,0.000893,0.0004175,0.0000066
11000,0.000991,0.000610,0.0003978,0.0000068
11000,0.001220,0.000556,0.0004011,0.000037
12000,0.000901,0.000590,0.0004328,0.0000071
12000,0.001462,0.000745,0.0004698,0.0000236
12000,0.001295,0.000637,0.0004445,0.0000071
12000,0.001279,0.000753,0.000496,0.0000071
12000,0.001367,0.000642,0.000512,0.0000072
13000,0.001004,0.000641,0.0006026,0.0000075
13000,0.001444,0.000957,0.0005321,0.0000075
13000,0.001266,0.000667,0.0006019,0.0000078
13000,0.001109,0.000936,0.0005182,0.0000083
13000,0.001121,0.000642,0.0005263,0.0000078
14000,0.001074,0.000895,0.0005008,0.0000083
14000,0.001742,0.000726,0.0005605,0.0000083
14000,0.001282,0.000708,0.0005298,0.0000084
14000,0.001442,0.000738,0.0006815,0.0000089
14000,0.001469,0.000665,0.0005197,0.0000082
15000,0.001154,0.000875,0.0008086,0.0000086
15000,0.001599,0.000686,0.0005214,0.0000086
15000,0.001872,0.000799,0.0005645,0.0000089
15000,0.001621,0.000823,0.000556,0.0000089
15000,0.001347,0.000886,0.000535,0.0000089
16000,0.001339,0.000828,0.0007447,0.0000092
16000,0.002008,0.000851,0.0007142,0.0000099
16000,0.001640,0.000952,0.000604,0.0000094
16000,0.001686,0.000834,0.0005967,0.0000094
16000,0.001827,0.000804,0.0006562,0.0000095
17000,0.001385,0.001108,0.0006211,0.0000098
17000,0.002353,0.001086,0.0006552,0.00001
17000,0.001680,0.000905,0.0006496,0.00001
17000,0.001865,0.000846,0.0006157,0.0000099
17000,0.001832,0.000827,0.0006254,0.00001
18000,0.001539,0.001158,0.0009703,0.0000105
18000,0.002900,0.000985,0.0006704,0.0000106
18000,0.001989,0.001055,0.0006762,0.0000108
18000,0.001907,0.000874,0.0006707,0.0000109
18000,0.001814,0.000996,0.0007921,0.0000106
19000,0.001521,0.000899,0.0006829,0.0000109
19000,0.002032,0.000979,0.0007717,0.0000108
19000,0.002081,0.001007,0.0007104,0.0000112
19000,0.001860,0.001000,0.0007922,0.0000112
19000,0.001874,0.001026,0.0009759,0.0000117
20000,0.002403,0.001523,0.0008547,0.0000118
20000,0.002578,0.000982,0.0008716,0.0000117
20000,0.002172,0.001332,0.0007375,0.0000117
20000,0.001936,0.000981,0.0007262,0.0000117
20000,0.003205,0.001000,0.0009491,0.0000118
21000,0.001667,0.001018,0.0013859,0.000035
21000,0.002295,0.001097,0.0008291,0.0000123
21000,0.002125,0.001093,0.0008197,0.0000122
21000,0.002676,0.001137,0.0008352,0.0000123
21000,0.002023,0.001026,0.0009332,0.0000122
22000,0.002383,0.001338,0.0009462,0.0000231
22000,0.002078,0.001100,0.0008876,0.0000426
22000,0.002492,0.001077,0.0008519,0.0000128
22000,0.002597,0.001081,0.0010791,0.000013
22000,0.002485,0.001084,0.0008547,0.0000131
23000,0.002170,0.001296,0.001322,0.0000362
23000,0.002172,0.001520,0.0010562,0.0000137
23000,0.002311,0.001158,0.0009035,0.0000135
23000,0.002297,0.001146,0.0009017,0.0000137
23000,0.002638,0.001303,0.0009225,0.0000135
24000,0.001976,0.001269,0.0010053,0.0000138
24000,0.003274,0.001976,0.0010198,0.0000142
24000,0.002403,0.001306,0.0009336,0.000014
24000,0.002496,0.001235,0.0009187,0.0000141
24000,0.002620,0.001278,0.0011289,0.0000142
25000,0.002106,0.001667,0.0014613,0.0000158
25000,0.002609,0.001264,0.0010379,0.0000149
25000,0.002234,0.001253,0.0009428,0.0000283
25000,0.002475,0.001292,0.0009812,0.0000145
25000,0.002363,0.001254,0.0010629,0.0000146
26000,0.002075,0.001395,0.0011129,0.0000148
26000,0.002479,0.001371,0.0011572,0.0000151
26000,0.002570,0.001302,0.0010248,0.0000151
26000,0.002608,0.001339,0.0010401,0.0000152
26000,0.002393,0.001316,0.0010198,0.0000152
27000,0.003455,0.001405,0.001007,0.0000153
27000,0.002969,0.001388,0.0011713,0.0000351
27000,0.002521,0.001356,0.0010928,0.0000157
27000,0.002671,0.001447,0.0011163,0.0000158
27000,0.002539,0.001566,0.0011023,0.0000158
28000,0.002290,0.001547,0.0011151,0.0000159
28000,0.002961,0.001575,0.0014466,0.0000166
28000,0.002644,0.001419,0.0010798,0.0000164
28000,0.002891,0.001554,0.0011356,0.0000165
28000,0.003396,0.001539,0.001131,0.0000164
29000,0.002855,0.001644,0.0013478,0.0000171
29000,0.002833,0.001474,0.0011834,0.000017
29000,0.002874,0.001474,0.0012028,0.0000168
29000,0.002999,0.001487,0.001106,0.0000169
29000,0.002781,0.001492,0.0011902,0.0000169
30000,0.002759,0.001690,0.0011356,0.000017
30000,0.002980,0.001584,0.0012112,0.0000173
30000,0.002754,0.001538,0.001209,0.0000175
30000,0.002827,0.001662,0.0015978,0.0000187
30000,0.002795,0.001608,0.0011683,0.0000175
31000,0.003160,0.001654,0.001217,0.0000184
31000,0.003695,0.001756,0.001281,0.0000181
31000,0.002883,0.001614,0.0015853,0.0000182
31000,0.002866,0.001596,0.0012247,0.0000181
31000,0.003405,0.001581,0.0012355,0.0000181
32000,0.002608,0.001777,0.0012858,0.0000181
32000,0.003057,0.001847,0.0013323,0.0000181
32000,0.002898,0.001686,0.0012612,0.0000186
32000,0.004216,0.002416,0.0013647,0.0000186
32000,0.003643,0.001645,0.0012521,0.0000186
33000,0.003318,0.002495,0.0012835,0.0000204
33000,0.003299,0.001687,0.0015257,0.0000195
33000,0.003049,0.001746,0.001278,0.0000192
33000,0.003009,0.001934,0.0013066,0.0000188
33000,0.003423,0.001744,0.0012742,0.0000192
34000,0.002800,0.001799,0.0012906,0.0000192
34000,0.003103,0.001842,0.0013675,0.0000193
34000,0.003443,0.001778,0.0013618,0.0000305
34000,0.003120,0.001841,0.0013573,0.0000198
34000,0.003184,0.001848,0.0016801,0.0000196
35000,0.015859,0.002270,0.0048297,0.0000346
35000,0.003330,0.002166,0.0021916,0.0000214
35000,0.007395,0.002325,0.0013747,0.0000198
35000,0.003494,0.001922,0.0015168,0.0000199
35000,0.003056,0.001879,0.0015168,0.0000197
36000,0.003405,0.002468,0.0015516,0.000021
36000,0.003447,0.001941,0.0015352,0.000021
36000,0.003705,0.002011,0.0018634,0.0000204
36000,0.003547,0.002059,0.0015203,0.0000209
36000,0.003513,0.001982,0.0017681,0.0000213
37000,0.003100,0.001998,0.0015538,0.0000345
37000,0.004458,0.001909,0.0014985,0.0000216
37000,0.003633,0.002037,0.0018516,0.0000237
37000,0.003385,0.001943,0.0014487,0.0000215
37000,0.003854,0.001940,0.0014414,0.0000215
38000,0.003372,0.001962,0.0015111,0.0000215
