size   qsort    sort
2000 0.003 0.006
4000 0.002 0.009
6000 0.004 0.017
8000 0.005 0.016
10000 0.006 0.023
12000 0.007 0.027
14000 0.008 0.037
16000 0.01 0.036
18000 0.011 0.04
20000 0.012 0.054
22000 0.015 0.051
24000 0.017 0.104
26000 0.02 0.059
28000 0.018 0.066
30000 0.02 0.08
32000 0.023 0.087
34000 0.024 0.094
36000 0.025 0.094
38000 0.026 0.092
40000 0.027 0.095
42000 0.028 0.104
44000 0.029 0.105
46000 0.032 0.115
48000 0.032 0.114
50000 0.033 0.123
52000 0.036 0.125
54000 0.036 0.132
56000 0.037 0.143
58000 0.041 0.145
60000 0.041 0.148
62000 0.042 0.152
64000 0.044 0.159
66000 0.046 0.163
68000 0.048 0.169
70000 0.048 0.172
72000 0.05 0.19
74000 0.056 0.178
76000 0.053 0.188
78000 0.054 0.201
80000 0.055 0.195
82000 0.058 0.201
84000 0.063 0.21
86000 0.059 0.215
88000 0.061 0.222
90000 0.063 0.217
92000 0.065 0.232
94000 0.065 0.236
96000 0.067 0.232
98000 0.067 0.252
100000 0.069 0.247
